"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","answer.9","reference-term-source","reference-term-code","reference-term-relationship","reference-term-source","reference-term-code","reference-term-relationship"
"8bcf4ff8-42f5-479a-8260-f232fc0e88cb","NBA-Mother name",,"Misc","Mother's Name","Text",,,,,,"","","","","","","","","","",,,,,,
"43a5d094-d3a7-4646-aa05-3be536a3f0c1","Mother ID",,"Misc","Mother's ID","Text",,,,,,"","","","","","","","","","",,,,,,
"51bfacca-cb2e-4a58-9fbd-826979f4d5ee","Date and time of delivery",,"Misc","Date and time of delivery","Datetime",,,,,,"","","","","","","","","","",,,,,,
"d6681575-0c44-4fda-9d13-b7ff1f185aef","Term",,"Misc","Term","N/A",,,,,,"","","","","","","","","","",,,,,,
"41a400f0-b6de-4ad8-a327-3ae30ea28f78","Pre term",,"Misc","Pre term","N/A",,,,,,"","","","","","","","","","",,,,,,
"33f1e007-a959-466d-b030-47a749452dfa","Post term",,"Misc","Post term","N/A",,,,,,"","","","","","","","","","",,,,,,
"4b9d4040-41d3-49df-8627-95c14127958f","NAB-Gestational week",,"Misc","Gestational week","Coded",,,,,,"","Term","Pre term","Post term","","","","","","",,,,,,
"9ed838a1-74f3-48e8-80bd-371c35bc7782","NBA-Maternal history (Medical, antenatal and family)","Medical<li>Antenatal<li>Family","Misc","Maternal history","Text",,,,,,"","","","","","","","","","",,,,,,
"3dc7ab2e-4c74-4d5a-8ff3-06dffc876afc","NBA-Antenatal labs","HIV, HbSAg, VDRL, Random blood sugar, Maternal blood type","Test","Antenatal labs (if abnormal)","Text",,,,,,"","","","","","","","","","",,,,,,
"8700e1cb-3862-4ab6-a3d5-5c6ec3e98578","Cephalic",,"Misc","Cephalic","N/A",,,,,,"","","","","","","","","","",,,,,,
"dce3986c-c719-455d-9e91-2a97e3561da3","Breech",,"Misc","Breech","N/A",,,,,,"","","","","","","","","","",,,,,,
"0c020f14-07fc-48a4-97f3-cff60c03108c","Others",,"Misc","Others","N/A",,,,,,"","","","","","","","","","",,,,,,
"d1091161-ac1c-4937-819c-702baac2a216","NBA-Presentation",,"Misc","Presentation","Coded",,,,,,"","Cephalic","Breech","Others","","","","","","",,,,,,
"fe255847-e2a3-4011-a011-1d9090059a18","Clear",,"Misc",,"N/A",,,,,,"","","","","","","","","","",,,,,,
"6864baa1-fb68-4f8f-91ea-b515019eaa0b","Meconium stained",,"Misc","Meconium stained","N/A",,,,,,"","","","","","","","","","",,,,,,
"cf2635ad-f714-405c-bc17-c8a50d7a38db","Thick meconium",,"Misc","Thick meconium","N/A",,,,,,"","","","","","","","","","",,,,,,
"002ae054-8173-403a-b727-293de3ef44aa","NBA-Amniotic fluid",,"Misc","Amniotic fluid","Coded",,,,,,"","Clear","Meconium stained","Thick meconium","","","","","","",,,,,,
"04b222ca-e7ba-4b0f-8131-cf64148beb57","Spontaneous vaginal delivery",,"Misc","Spontaneous vaginal delivery","N/A",,,,,,"","","","","","","","","","",,,,,,
"eb4fe341-9ec7-44d1-96db-c9178fd24434","Forceps assisted",,"Misc","Forceps assisted","N/A",,,,,,"","","","","","","","","","",,,,,,
"1f10cfea-b378-47a5-813d-a4fd9dc2197a","Vacuum assisted",,"Misc","Vacuum assisted","N/A",,,,,,"","","","","","","","","","",,,,,,
"09aa5608-ccfd-47af-9b39-b0c9d0529766","Caesarean section",,"Misc","Caesarean section","N/A",,,,,,"","","","","","","","","","",,,,,,
"4fc56f19-9e7e-4e1e-9c49-0bcce5391c62","NBA-Delivery method",,"Misc","Delivery method","Coded",,,,,,"","Spontaneous vaginal delivery","Forceps assisted","Vacuum assisted","Caesarean section","","","","","",,,,,,
"75a91750-29eb-4f32-83c0-ebdd22235746","Single",,"Misc","Single","N/A",,,,,,"","","","","","","","","","",,,,,,
"cdff5733-8001-42d2-91ef-0f747c5aa97e","Twin",,"Misc","Twin","N/A",,,,,,"","","","","","","","","","",,,,,,
"7f3b866b-0ed8-4254-870a-17d8b9e70a04","NBA-Child born",,"Misc","Child born","Coded",,,,,,"","Single","Twin","","","","","","","",,,,,,
"f9d5c674-7727-4d3d-85c0-c2e426522db2","Chorioamnionitis maternal fever",,"Misc","Chorioamnionitis maternal fever","N/A",,,,,,"","","","","","","","","","",,,,,,
"eeda7550-ed90-43eb-ab79-a5832ebd4dfc","Prolonged rupture of membranes",,"Misc","Prolonged rupture of membranes","N/A",,,,,,"","","","","","","","","","",,,,,,
"56071d3e-cac6-42f5-8f25-98e726c23d3f","Prematurity",,"Misc",,"N/A",,,,,,"","","","","","","","","","",,,,,,
"b293a424-8c1d-4b86-92eb-9b06e457c98d","Foul smelling discharge",,"Misc","Foul smelling discharge","N/A",,,,,,"","","","","","","","","","",,,,,,
"18249a82-cb6b-4d7f-b640-14419b78b14d","Maternal tachycardia",,"Misc","Maternal tachycardia","N/A",,,,,,"","","","","","","","","","",,,,,,
"0cf3b89d-05ab-41a4-97be-981434b22070","Fetal tachycardia",,"Misc","Fetal tachycardia","N/A",,,,,,"","","","","","","","","","",,,,,,
"e4690f4c-936d-4965-9de9-bcfb2decb284","Fetal distress",,"Misc","Fetal distress","N/A",,,,,,"","","","","","","","","","",,,,,,
"c5f28538-64ee-4091-ba51-830a0985d750","Meconium aspiration",,"Misc","Meconium aspiration","N/A",,,,,,"","","","","","","","","","",,,,,,
"fc736ecc-3c54-4d70-99f9-464e91298559","NBA-Sepsis risk factor","Chorioamnionitis: maternal fever greater than 38; may also have maternal white blood cell count greater than 15, foul smelling discharge or fetal tachycardia. Maternal rupture of membranes greater than 18 hours. Premature delivery may be due to maternal infection.","Misc","Sepsis risk factor","Coded",,,,,,"","Chorioamnionitis maternal fever","Prolonged rupture of membranes","Prematurity","Foul smelling discharge","Maternal tachycardia","Fetal tachycardia","Fetal distress","Meconium aspiration","",,,,,,
"221826fd-55cc-4ab4-8add-c8de86eb2d1d","Delivery Note-Liveborn APGAR score at 1 minute","Apgar Scoring System (Based on 0 Points, 1 Point and 2 Points system)<li><li><li>
A (Activity)<li>
0 Points=Absent,       
1 Point=Flexed arms and legs,
2 Points=Active<li>P (Pulse)<li>
0 Points=Absent,        
1 Point=below 100 bpm,
2 Points=Over 100 bpm<li><li>G (Grimace)<li>
0 Points=Floopy, 1 Point=Minimal Response to stimulation, 2 Points=Prompt response to stimulation<li><li>
A (Appearance)<li>
0 Points=Blue;Pale, 1 Point=pink body, blue extremities, 2 Points=Pink<li>
R (Respiration) <li>
0 Points=Absent, 1 Point=Slow and irregular, 2 Points=Vigorous cry","Misc","APGAR score at 1 minute","Numeric",,,,,,"","","","","","","","","","",,,,,,
"a317efa6-cf52-4cbc-bdf2-d5263d63d5eb","Delivery Note, Liverborn APGAR score at 5 minutes",,"Misc","APGAR score at 5 minutes","Numeric",,,,,,"","","","","","","","","","",,,,,,
"ab542035-05a7-4eda-9b83-419a4fcf9b23","Normal",,"Misc",,"N/A",,,,,,"","","","","","","","","","",,,,,,
"7d510761-45b6-46ca-b14c-337993e10d2c","Asphyxiated",,"Misc","Asphyxiated","N/A",,,,,,"","","","","","","","","","",,,,,,
"c9ebcea5-b5c6-4e5c-80ff-16bb6b6a7994","Hypothermia",,"Diagnosis","Hypothermia","N/A",,,,,,"","","","","","","","","","","ICD-10-WHO","T68","SAME-AS",,,
"d5316154-2e8a-4269-a026-fcc40f1f1b2d","Unspecified jaundice",,"Diagnosis","Jaundice","N/A",,,,,,"","","","","","","","","","","ICD-10-WHO","R17","SAME-AS",,,
"2d497e5d-51ac-40eb-9b3b-c00a4e64daa7","Caput",,"Misc",,"N/A",,,,,,"","","","","","","","","","",,,,,,
"4bd0f38d-a194-4033-8cd4-d021b3814534","Disabled",,"Misc","Disabled","N/A",,,,,,"","","","","","","","","","",,,,,,
"334df081-0573-4f15-85c6-f7f3ad088a52","Delivery Note, New born status",,"Misc","New born status","Coded",,,,,,"","Normal","Asphyxiated","Hypothermia","Unspecified jaundice","Caput","Disabled","","","",,,,,,
"e792c1b4-7011-4266-a639-eeccc0b96115","Cephalohematoma",,"Misc",,"Boolean",,,,,,"","","","","","","","","","",,,,,,
"dfe61782-f77c-41ca-b66e-1432888e9022","Delivery Note, Congenital anomalies",,"Misc","Congenital anomalies","Text",,,,,,"","","","","","","","","","",,,,,,
"703dc9fa-f717-4fc5-9d5d-2e761888fffd","Vitamin K provided",,"Misc","Vitamin K provided","Boolean",,,,,,"","","","","","","","","","",,,,,,
"d7582c80-03b0-43ee-a44d-d2d4aac09895","Delivery Note, Chlorhexidine applied on cord",,"Misc","Chlorhexidine applied on cord","Boolean",,,,,,"","","","","","","","","","",,,,,,
"1e4fcc2e-30fe-4e97-81f4-7c5c6ff90e90","Delivery Note-Neonate weight",,"Misc","Neonate weight","Numeric",,,,,,"","","","","","","","","","",,,,,,
"aa771e9c-437d-4f90-9200-cd8e26fbec6a","Small infant",,"Misc","Small infant","N/A",,,,,,"","","","","","","","","","",,,,,,
"bab02365-f77f-4705-a2c6-7ae4a7d67949","Large infant",,"Misc","Large infant","N/A",,,,,,"","","","","","","","","","",,,,,,
"b92b5e22-2e66-4a7d-ae8e-f36d2d5e8519","NBA-Neonate size","Low birth weight (small infant) is weight less than 2500 grams. Large infant is weight greater than 4000 grams","Misc","Neonate size","Coded",,,,,,"","Small infant","Large infant","","","","","","","",,,,,,
"ccbbaa66-3951-45a4-987a-fa697d141a0e","Temperature",,"Misc","Temperature","Numeric",,,,,,"","","","","","","","","","",,,,,,
"80656494-b9b2-4935-b209-c67dc0ab4ca1","Heart rate",,"Misc","Heart rate","Numeric",,,,,,"","","","","","","","","","",,,,,,
"2508503e-5b73-40b0-ace8-1ae40b8e451c","Heart rate abnormal",,"Abnormal","Heart rate abnormal","Boolean",,,,,,"","","","","","","","","","",,,,,,
"5292d989-f892-4c67-82ec-ac060f5c2292","Respiratory rate","(Match RR with age group and if increased prompt ARI section)				 (<50 for 2-12 months, <40 for 1-5 years)","Misc","Respiratory rate","Numeric",,,,,,"","","","","","","","","","",,,,,,
"ea009666-1247-47a6-b176-a9ce560a07d9","Premature birth",,"Misc","Premature birth","Boolean",,,,,,"","","","","","","","","","",,,,,,
"be2f3887-b376-4110-930b-8ef3576435d6","Hypoglycemia risk factor",,"Misc","Hypoglycemia risk factor","Boolean",,,,,,"","","","","","","","","","",,,,,,
"74997fd2-e078-4a5c-99e3-56ae30da2929","Hyperbilirubinemia risk factor","Risk factors include premature birth, cephalohematoma, ABO/Rh incompatibility","Misc","Hyperbilirubinemia risk factor","Boolean",,,,,,"","","","","","","","","","",,,,,,
"b01e158c-23d2-40e9-8d06-42971bb67e89","NBA-Routine care and counseling","Counsel parents/guardians for;<li> Discuss danger signs <li>Discuss proper umbilical cord care <li>Discuss effective breastfeeding <li>Discuss immunization.","Misc","Routine care and counseling","Boolean",,,,,,"","","","","","","","","","",,,,,,
